attendance,home_initial,vis_initial,score_starter_home,score_bench_home,score_starter_vis,score_bench_vis,recovery_time,perform,def_perf_home,off_perf_home,def_perf_vis,off_perf_vis,class,frac_season,day_hour,ref1,ref2,ref3,home_temp,travel_miles
18010,DEN,MIA,76.44851097178685,50.44244243963584,69.48107828338243,62.915350460640965,5.0,32.33333333333333,101.66666666666669,107.66666666666669,107.33333333333331,101.33333333333331,0,0.07954545454545454,21.0,James Capers Jr.,Marat Kogut,Tre Maddox,,1725.4
15463,DET,NYK,60.52962701678442,58.41042521994135,67.1382111201999,42.79832474872797,5.0,27.66666666666667,101.66666666666669,110.33333333333331,107.0,95.66666666666669,1,0.08522727272727272,19.0,Brent Barnaky,Ashley Moyer-Gleich,Ben Taylor,35.52,481.8
16171,IND,WAS,67.12795871925323,38.12712333237678,72.80118336210586,53.32147147147148,3.0,27.66666666666667,98.66666666666669,110.33333333333331,110.0,108.33333333333331,1,0.08522727272727272,19.0,Nick Buchert,Kane Fitzgerald,Andy Nagy,34.97,832.1
15049,ATL,CHI,75.49297834076158,59.26350941552303,62.07626373626374,59.06066579956372,2.0,25.333333333333336,106.33333333333331,99.33333333333331,106.0,106.33333333333331,0,0.08522727272727272,19.5,David Guthrie,Aaron Smith,Justin Van Duyne,,587.6
18055,HOU,GSW,93.10456870502388,30.939060537630766,37.44122807017544,72.11700229673009,4.0,28.333333333333336,115.66666666666669,123.66666666666669,124.0,112.66666666666669,1,0.08522727272727272,19.5,Eric Dalen,Marc Davis,Karl Lane,69.08,1645.2
19800,TOR,SAC,79.32961993457276,60.29500437062937,79.63995726495726,45.85394701167107,7.0,17.333333333333332,109.33333333333331,117.66666666666669,109.66666666666669,104.66666666666669,1,0.08522727272727272,19.5,John Conley,Michael Smith,Josh Tiven,,2201.2
13503,MEM,MIN,58.586653575680934,52.67384725757608,78.82597712920294,49.749975012493756,4.0,32.666666666666664,114.0,114.0,121.0,115.66666666666669,1,0.08522727272727272,20.0,Ray Acosta,Eric Lewis,Phenizee Ransom,53.88,699.0
19487,DAL,ORL,79.22487548927292,48.48181729855958,76.7421160207692,34.57738095238096,4.0,14.333333333333332,115.33333333333331,112.0,104.33333333333331,98.33333333333331,0,0.08522727272727272,20.5,Tyler Ford,Jacyn Goble,Rodney Mott,69.41,962.3
18306,UTA,PHI,79.58822886615962,29.072547892720305,85.35058598808598,41.082381095825646,5.0,7.333333333333334,93.66666666666669,109.66666666666669,116.0,114.0,0,0.08522727272727272,21.0,Derrick Collins,Jason Goldenberg,Ken Mauer,46.96,1925.0
19068,LAC,MIL,59.43352404791703,34.1881737818633,84.68414327306655,51.25511793448649,5.0,21.66666666666667,106.66666666666669,110.66666666666669,107.0,128.66666666666666,1,0.08522727272727272,22.0,Mitchell Ervin,Courtney Kirkland,Zach Zarba,60.76,1743.7
18487,CHO,BOS,60.02316534040672,61.70908108764165,91.78131437106306,38.70747772930008,4.0,19.33333333333333,116.33333333333331,102.66666666666669,98.33333333333331,115.0,0,0.09090909090909093,20.0,Matt Boland,Pat Fraher,Leon Wood,57.41,721.0
18354,SAS,OKC,69.35806130708377,55.117406031240996,71.29610190575707,51.7166105725218,4.0,17.333333333333336,108.33333333333331,110.0,112.33333333333331,106.33333333333331,1,0.09090909090909093,20.5,Eric Dalen,Marc Davis,Haywoode Workman,61.0,420.7
15498,PHO,MIA,60.72136403299685,65.95362818270652,71.48527408757823,58.97176071705121,5.0,31.66666666666667,109.66666666666669,105.66666666666669,104.66666666666669,106.33333333333331,1,0.09090909090909093,21.0,Mark Ayotte,Derrick Collins,Jason Goldenberg,74.48,1981.5
19068,LAC,POR,57.01159652690863,61.43438486244938,82.15550087829175,31.63126813346228,4.0,12.666666666666664,108.0,112.0,111.0,107.0,0,0.09090909090909093,22.5,James Capers Jr.,Marat Kogut,Gediminas Petraitis,59.21,825.2
15544,IND,DET,67.12795871925323,41.394779485747215,60.52962701678442,58.41042521994135,4.0,21.66666666666667,102.33333333333331,113.66666666666669,113.0,103.66666666666669,0,0.09659090909090907,19.0,Tyler Ford,Jenna Schroeder,Tom Washington,23.96,488.3
